,Date,surface_heat_released,joules_released
58,2008-10-01,211087.77777777778,883191.2622222223
59,2008-10-04,192719.50000000003,806338.3880000002
60,2008-10-06,200222.22222222225,837729.7777777779
61,2008-10-08,184755.55555555556,773017.2444444444
62,2008-10-10,196914.44444444444,823890.0355555556
63,2008-10-23,227083.7037037037,950118.2162962963
64,2008-10-24,107438.19444444444,449521.40555555554
65,2008-10-27,231284.44444444444,967694.1155555556
66,2009-05-08,92745.55555555556,388047.4044444445
67,2009-05-09,64927.9365079365,271658.48634920636
68,2009-05-11,69676.66666666667,291527.17333333334
69,2009-05-12,120337.77777777777,503493.26222222217
70,2009-05-15,64439.999999999985,269616.95999999996
71,2009-05-29,82183.98148148147,343857.77851851855
72,2009-06-03,187865.0,786027.16
73,2009-06-08,179722.22222222222,751957.7777777778
74,2009-06-11,164965.18518518517,690214.3348148149
75,2009-06-21,173564.0,726191.7760000001
76,2009-07-09,189749.18000000002,793910.5691200001
77,2009-07-12,139926.66666666672,585453.1733333336
78,2009-07-19,176955.55555555556,740382.0444444446
79,2009-07-25,305244.89999999997,1277144.6615999998
80,2009-07-28,287377.0,1202385.368
81,2009-07-30,292102.7181818182,1222157.7728727274
82,2009-08-04,287116.5,1201295.436
83,2009-08-10,269225.55555555556,1126439.7244444445
84,2009-08-28,157625.99999999997,659507.1839999999
85,2009-09-03,169302.0,708359.568
86,2009-09-06,150912.3,631417.0632
87,2009-09-10,248730.0,1040686.3200000001
88,2009-09-21,136984.5,573143.148
89,2009-09-24,351486.0,1470617.424
90,2009-09-29,194971.0,815758.664
91,2009-10-05,179184.44444444444,749707.7155555557
92,2009-10-06,263676.5333333334,1103222.6154666669
93,2009-10-08,179819.99999999997,752366.88
94,2009-10-19,197660.0,827009.4400000001
95,2009-10-23,207242.0,867100.528
96,2010-05-07,79730.5,333592.412
97,2010-05-11,0.0,0.0
98,2010-05-14,108502.22222222222,453973.2977777778
99,2010-05-15,66741.11111111111,279244.80888888886
100,2010-05-19,99437.0808080808,416044.7461010101
101,2010-05-27,140695.5555555556,588670.2044444446
102,2010-06-02,188908.99999999997,790395.2559999999
103,2010-06-11,253184.72222222222,1059324.8777777778
104,2010-06-17,109115.00000000003,456537.16000000015
105,2010-06-20,133440.0,558312.9600000001
106,2010-06-21,282127.77777777775,1180422.6222222222
107,2010-06-29,177737.77777777775,743654.8622222221
108,2010-07-15,216256.66666666666,904817.8933333333
109,2010-07-23,256226.20370370374,1072050.4362962965
110,2010-08-27,228384.6666666667,955561.4453333333
111,2010-09-14,335649.35185185185,1404356.8881481483
112,2010-09-24,330814.0,1384125.776
113,2010-09-29,210691.55555555556,881533.4684444445
114,2010-10-05,248586.99999999997,1040088.0079999999
115,2010-10-06,250258.14814814812,1047080.0918518518
116,2010-10-07,245690.0,1027966.96
117,2010-10-19,254171.5,1063453.556
118,2010-10-29,168061.6666666667,703170.0133333334
119,2011-05-10,94151.15000000001,393928.41160000005
120,2011-05-17,89613.65000000001,374943.5116
121,2011-05-18,91867.4,384373.2016
122,2011-05-19,116213.05555555556,486235.4244444445
123,2011-05-20,92152.77777777778,385567.22222222225
124,2011-05-24,55304.44444444442,231393.7955555555
125,2011-05-25,105363.8888888889,440842.51111111115
126,2011-05-27,163315.0,683309.96
127,2011-05-31,181992.7777777778,761457.7822222223
128,2011-06-03,114906.66666666667,480769.49333333335
129,2011-06-12,125100.0,523418.4
130,2011-06-13,269553.25,1127810.798
131,2011-06-21,240949.99999999997,1008134.7999999999
132,2011-06-26,143879.99999999997,601993.9199999999
133,2011-06-29,315246.6666666667,1318992.0533333335
134,2011-07-06,284890.0,1191979.76
135,2011-07-07,218550.0,914413.2000000001
136,2016-07-05,243268.8,1017836.6591999999
137,2016-07-07,248547.21666666667,1039921.5545333334
138,2016-07-28,302288.205,1264773.84972
139,2016-08-02,321830.0,1346536.7200000002
140,2016-08-17,28956.666666666668,121154.69333333334
141,2016-08-28,0.0,0.0
142,2016-08-30,290329.4,1214738.2096000002
143,2016-09-04,0.0,0.0
144,2016-09-08,349085.3333333333,1460573.0346666665
145,2016-09-13,312615.72,1307984.17248
146,2016-09-14,299664.93333333335,1253798.0810666669
147,2016-09-20,283175.5,1184806.2920000001
148,2016-10-04,252304.85714285716,1055643.5222857143
149,2016-10-18,-29189.999999999996,-122130.95999999999
150,2016-10-27,-29189.999999999996,-122130.95999999999
